 Loan_ID, Nos_Dep, Education, Self_employed, Annual_income, Loan_amount, Loan_Term, Cibil_score, Residential_assets_value, Commercial_assets_value, Luxury_assets_value, Bank_asset_value, Loan_status
639,5, Graduate, No,6600000,18800000,4,639,3200000,1100000,25100000,4300000,1
640,0, Not Graduate, Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,0
641,3, Not Graduate, No,6900000,,20,310,4500000,3600000,20400000,4800000,0
642,4, Graduate, No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,1
643,1, Not Graduate,,4300000,14100000,12,525,2100000,1100000,14100000,5500000,0
644,5, Graduate, No,9400000,25800000,14,625,28200000,15400000,30800000,11100000,1
645,3, Not Graduate, Yes,800000,2900000,10,644,600000,500000,2900000,400000,1
646,5, Not Graduate, No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,1
647,1, Graduate, Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,1
648,2, Not Graduate, No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,1
649,5, Graduate, Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000,1
650,2, Graduate, No,7600000,,12,800,19700000,14800000,15600000,7800000,1
651,0, Graduate, Yes,500000,1100000,18,479,1500000,500000,1800000,600000,0
652,3, Not Graduate, Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,1
653,0, Graduate, Yes,8900000,,,568,18800000,700000,32700000,5300000,1
654,1, Graduate, Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000,1
655,5, Not Graduate, No,9600000,20700000,14,442,25800000,9800000,31800000,8200000,0
656,3, Graduate, Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,0
657,3, Not Graduate, No,2800000,5900000,4,461,1600000,400000,8900000,2800000,0
658,1, Graduate, No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,1
659,1, Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000,0
660,1, Graduate, Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000,1
661,3, Graduate, No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,0
662,3, Not Graduate, No,1600000,3900000,20,804,900000,2500000,3200000,800000,1
663,0, Graduate, No,9500000,22600000,6,861,24700000,13200000,29000000,5600000,1
664,2, Not Graduate,nan,3000000,7800000,14,555,6600000,2700000,9600000,1700000,1
665,2, Not Graduate, Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000,0
666,4, Not Graduate, Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,1
667,3, Graduate,,8700000,30500000,2,443,11800000,1800000,24600000,8100000,1
668,2, Not Graduate, Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000,1
669,0, Graduate, No,5800000,21100000,6,414,7900000,2400000,16000000,5600000,0
670,3, Graduate, Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000,0
671,1, Not Graduate, Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000,1
672,4, Graduate, Yes,700000,2600000,18,478,600000,600000,2100000,300000,0
673,3, Graduate, No,600000,1200000,2,752,1100000,500000,2300000,700000,1
674,0, Graduate, No,9400000,,4,616,15400000,5000000,25100000,7800000,1
675,2, Not Graduate, Yes,3800000,12500000,14,842,3700000,6700000,14600000,5300000,1
676,3, Graduate, Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000,1
677,5, Not Graduate, No,600000,2300000,4,347,0,0,1900000,200000,0
678,1, Not Graduate, Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000,1
679,2, Graduate, No,5800000,13300000,4,878,8400000,5400000,,4500000,1
680,3, Graduate, Yes,2400000,4800000,12,895,6800000,300000,7300000,3300000,1
681,4, Not Graduate, No,7600000,29700000,6,603,3200000,2900000,27800000,11000000,1
682,2, Not Graduate, Yes,2500000,6900000,12,325,5800000,1600000,,3600000,0
683,0, Graduate, Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,1
684,0, Not Graduate, Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000,0
685,0, Graduate, No,1900000,6800000,4,782,100000,3400000,4900000,2400000,1
686,3, Graduate, No,3100000,8500000,,493,8700000,5100000,12000000,2000000,0
687,5, Not Graduate, Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000,0
688,3, Not Graduate, Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000,0
689,4, Not Graduate, Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000,1
690,3, Not Graduate,nan,600000,1400000,16,509,600000,300000,2400000,900000,0
691,0, Not Graduate, Yes,5600000,19100000,14,875,16700000,4700000,15100000,7700000,1
692,2, Not Graduate, Yes,1800000,3600000,4,343,3400000,1100000,,1500000,0
693,0, Graduate, No,6800000,20800000,20,819,16500000,11900000,26700000,8000000,1
694,2, Graduate, Yes,4200000,16800000,2,433,3300000,0,14100000,3700000,1
695,2, Graduate, Yes,8500000,31800000,6,714,17000000,900000,26600000,5600000,1
696,0, Graduate,nan,3600000,8600000,6,529,3500000,3300000,11300000,5200000,0
697,1, Not Graduate, No,6200000,19500000,20,448,3300000,7100000,22400000,8000000,0
698,4, Not Graduate, No,8800000,19100000,6,586,17600000,8800000,20600000,12400000,1
699,1, Graduate, No,5900000,13000000,2,386,16300000,5000000,12000000,3800000,0
700,2, Graduate, No,3300000,8300000,6,653,4700000,3100000,8300000,4600000,1
701,4, Graduate, Yes,300000,500000,14,448,700000,100000,,100000,0
702,1, Not Graduate, Yes,4800000,11600000,16,696,1400000,9400000,11800000,6500000,1
703,4, Not Graduate, No,8900000,21100000,6,631,4200000,200000,25800000,6200000,1
704,5, Not Graduate, Yes,9600000,29600000,4,446,22900000,3500000,36600000,13200000,1
705,0, Graduate, Yes,7700000,18100000,18,705,6100000,5100000,23800000,6300000,1
706,3, Not Graduate, Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000,1
707,3, Graduate,,5100000,11000000,6,336,-100000,5800000,11600000,7500000,0
708,4, Graduate, No,9400000,32600000,4,898,18200000,4000000,22000000,10200000,1
709,4, Not Graduate, Yes,600000,2100000,6,558,1300000,1000000,,300000,1
710,3, Graduate,nan,5100000,13300000,4,589,11200000,2700000,20200000,6100000,1
711,2, Graduate, Yes,3800000,14400000,2,301,2300000,1400000,7600000,2400000,0
712,2, Not Graduate,nan,5300000,21200000,14,516,2200000,5000000,20900000,7700000,0
713,5, Not Graduate, No,1100000,3600000,12,315,1300000,700000,3100000,1400000,0
714,2, Not Graduate, No,4000000,9400000,8,874,4400000,3700000,,4800000,1
715,2, Not Graduate, Yes,3900000,11600000,8,808,5800000,3100000,12900000,5000000,1
716,1, Graduate, Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000,0
717,3, Graduate, No,2700000,7800000,14,870,5400000,5300000,5700000,2100000,1
718,3, Graduate, No,1400000,3800000,8,840,1700000,200000,5300000,1500000,1
719,4, Not Graduate, Yes,8000000,19200000,18,682,2500000,8900000,19000000,5300000,1
720,4, Graduate, No,8100000,19000000,6,375,4100000,14500000,19100000,11900000,0
721,5, Graduate, Yes,8100000,32100000,6,823,18200000,1800000,24100000,6500000,1
722,0, Graduate,nan,1400000,5000000,8,686,1800000,1900000,3200000,1500000,1
723,1, Graduate, No,1600000,6300000,2,721,3000000,600000,5200000,900000,1
724,4, Graduate, No,4600000,9400000,18,545,800000,2400000,11500000,6300000,0
725,1, Not Graduate, No,2900000,8900000,6,523,900000,5600000,9700000,1800000,0
726,2, Graduate, Yes,8600000,24900000,20,607,13600000,7600000,31800000,5400000,1
727,0, Not Graduate, No,8200000,20300000,4,666,13100000,10200000,25900000,7800000,1
728,0, Not Graduate,nan,8100000,23800000,10,794,5400000,15500000,20700000,8800000,1
729,0, Not Graduate, No,6600000,14100000,20,360,6800000,5100000,25400000,7800000,0
730,4, Not Graduate, No,7200000,27400000,8,735,14100000,14200000,19400000,9500000,1
731,1, Not Graduate, No,2400000,5600000,16,379,3700000,600000,7200000,3400000,0
732,4, Graduate,,9600000,25500000,20,544,4000000,11400000,23800000,11100000,0
733,1, Not Graduate, No,300000,1200000,4,342,800000,100000,1100000,200000,1
734,0, Not Graduate, No,9900000,27000000,16,566,3500000,17300000,36900000,11500000,1
735,2, Graduate, No,4800000,18500000,20,605,5700000,5500000,14700000,5800000,1
736,1, Graduate, Yes,9000000,33500000,18,727,18800000,10500000,28100000,5300000,1
737,1, Graduate, No,8300000,28900000,12,529,18300000,3900000,32500000,5800000,0
738,4, Graduate, No,2800000,6100000,18,415,2200000,4200000,,2000000,0
739,0, Graduate, No,2900000,9800000,16,395,5400000,4300000,8600000,2400000,0
740,1, Graduate, Yes,200000,400000,8,569,200000,200000,700000,300000,1
741,1, Not Graduate, No,8400000,24600000,14,817,1800000,13100000,31300000,8200000,1
742,2, Graduate, Yes,8000000,31200000,8,553,6800000,3500000,21000000,10300000,1
743,5, Not Graduate,nan,900000,1800000,14,464,2300000,300000,1800000,700000,0
744,2, Graduate, No,5200000,17200000,12,565,3500000,1300000,20000000,6300000,1
745,1, Graduate, No,7200000,21000000,14,421,3500000,11600000,21800000,4600000,0
746,0, Not Graduate, Yes,9400000,34200000,10,512,13100000,15600000,,6300000,0
747,, Graduate, No,600000,2300000,8,627,1800000,500000,2200000,300000,1
748,0, Not Graduate, Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000,0
749,4, Graduate,,5700000,16900000,4,656,13000000,7400000,,8400000,1
750,2, Not Graduate, No,7700000,27300000,16,758,7300000,4600000,24800000,9100000,1
751,5, Graduate, No,8100000,,18,378,5200000,3400000,16200000,9600000,0
752,2, Graduate, No,4500000,9100000,18,593,-100000,600000,12400000,2500000,1
753,0, Not Graduate, Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000,1
754,1, Not Graduate, Yes,5400000,20700000,8,753,1900000,800000,19000000,3600000,1
755,1, Graduate, Yes,8200000,19100000,8,619,17200000,12200000,,6600000,1
756,2, Graduate, No,8900000,28500000,6,367,22200000,16600000,21500000,9300000,0
757,1, Graduate, No,1400000,3100000,20,384,200000,1200000,4200000,1800000,0
758,2, Graduate, No,1700000,5900000,,610,3100000,300000,3700000,1300000,1
759,3, Graduate, No,6500000,25200000,10,858,15400000,10900000,14000000,8100000,1
760,4, Graduate, Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000,0
761,3, Graduate, Yes,7700000,16200000,6,380,11500000,15100000,22500000,6400000,0
762,4, Graduate, No,3500000,,20,809,7100000,1500000,13700000,3200000,1
763,4, Not Graduate, No,2400000,6600000,2,722,6100000,3300000,5600000,3000000,1
764,, Not Graduate, Yes,7300000,28500000,10,799,21500000,3100000,15800000,4300000,1
765,2, Not Graduate, No,8800000,19000000,14,637,13700000,13900000,27100000,6100000,1
766,2, Not Graduate, No,4400000,12000000,20,421,9300000,2700000,,3400000,0
767,3, Graduate, Yes,8600000,30300000,14,459,12000000,4100000,23800000,9100000,0
768,3, Not Graduate, No,6900000,26000000,14,828,14800000,4200000,18500000,3600000,1
769,4, Graduate, No,9600000,27500000,20,679,23400000,7500000,37800000,6300000,1
770,2, Graduate, Yes,8100000,25700000,8,455,22300000,11500000,19800000,9500000,0
771,0, Not Graduate, No,2600000,9400000,18,879,2800000,1400000,5100000,2300000,1
772,2, Not Graduate, Yes,2100000,5600000,16,426,400000,300000,7100000,1200000,0
773,4, Not Graduate,,9000000,21500000,14,508,16600000,17300000,24300000,13100000,0
774,3, Not Graduate, Yes,7000000,19200000,4,768,8600000,13700000,,7700000,1
775,3, Not Graduate, No,2200000,6400000,20,667,6300000,3900000,8300000,2900000,1
776,5, Graduate, Yes,7500000,28200000,2,440,8200000,5800000,24400000,6000000,1
777,1, Graduate, Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000,0
778,0, Not Graduate, Yes,300000,,4,603,800000,200000,600000,200000,1
779,0, Not Graduate,,6600000,20300000,6,549,10800000,900000,23100000,9800000,0
780,5, Graduate, Yes,1800000,5300000,12,461,2800000,2000000,4700000,2000000,0
781,3, Not Graduate, Yes,7000000,16100000,16,379,2000000,5200000,,10000000,0
782,2, Not Graduate, Yes,5100000,,6,559,7800000,9800000,12700000,5100000,1
783,1, Not Graduate, Yes,300000,600000,8,816,600000,300000,1100000,200000,1
784,4, Not Graduate, Yes,4300000,11400000,2,560,10000000,3900000,8900000,3300000,1
785,0, Graduate, Yes,3200000,,14,645,5200000,1400000,12100000,3400000,1
786,4, Not Graduate, Yes,4200000,11500000,6,551,10600000,7600000,11300000,5000000,1
787,0, Not Graduate, Yes,9600000,22900000,8,515,4300000,14700000,33300000,7800000,0
788,3, Not Graduate, No,2400000,9300000,2,682,3100000,4400000,5200000,1500000,1
789,0, Graduate, No,400000,1200000,4,766,900000,300000,,300000,1
790,4, Graduate, No,5900000,19900000,14,469,14200000,6800000,22100000,3200000,0
791,0, Graduate, Yes,700000,1400000,10,618,1300000,200000,1700000,500000,1
792,0, Not Graduate, Yes,8600000,17700000,20,711,22000000,0,30800000,7400000,1
793,0, Graduate, Yes,9000000,34000000,4,549,2000000,8900000,20000000,12400000,1
794,3, Graduate, Yes,5100000,20400000,6,754,1700000,2600000,11800000,7600000,1
795,4, Not Graduate, Yes,500000,1500000,6,461,1300000,500000,1700000,200000,0
796,0, Graduate,nan,9800000,23900000,14,459,1000000,13400000,21100000,7200000,0
797,4, Graduate, No,7800000,29700000,20,614,22000000,700000,26800000,6300000,1
798,5, Graduate, Yes,2700000,10400000,2,723,2800000,700000,10300000,1400000,1
799,1, Not Graduate, Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000,0
800,2, Not Graduate,,6900000,,10,699,12800000,5700000,21200000,5200000,1
801,4, Graduate, Yes,8400000,25200000,2,308,8100000,9300000,27700000,10500000,1
802,2, Not Graduate, Yes,9500000,37500000,4,456,10200000,16800000,34100000,12900000,1
803,3, Not Graduate, No,4200000,14500000,20,840,4500000,5900000,8900000,4600000,1
804,4, Graduate,,2200000,,18,848,5100000,1700000,8500000,1600000,1
805,4, Graduate, No,3500000,11600000,10,335,6300000,5200000,10300000,2300000,0
806,2, Graduate, Yes,8800000,34400000,2,712,10500000,12500000,,5900000,1
807,0, Not Graduate, No,1800000,6600000,10,737,5000000,2000000,6000000,1500000,1
808,5, Not Graduate, Yes,3600000,12400000,8,333,8800000,1000000,10700000,4000000,0
809,5, Graduate, No,9400000,23700000,18,862,21500000,3500000,22400000,5600000,1
810,5, Not Graduate, Yes,9800000,35700000,10,726,9400000,18900000,31200000,12000000,1
811,1, Not Graduate, Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000,0
812,2, Graduate, No,1800000,3800000,4,777,5100000,2700000,4600000,1400000,1
813,3, Graduate, No,1700000,5300000,14,696,300000,700000,4500000,800000,1
814,2, Graduate, Yes,2200000,7900000,6,659,3400000,1800000,8600000,2400000,1
815,3, Not Graduate, Yes,6300000,17700000,2,542,16800000,900000,,5300000,0
816,1, Graduate, No,8100000,,6,744,20300000,10500000,21800000,7700000,1
817,4, Not Graduate, No,6800000,17000000,2,749,18000000,3800000,27100000,9400000,1
818,5, Not Graduate, No,500000,1500000,12,527,100000,600000,1100000,200000,0
819,5, Not Graduate, No,9900000,35800000,20,470,9500000,18400000,39100000,14700000,0
820,4, Not Graduate, Yes,5500000,13400000,10,880,300000,800000,19900000,2800000,1
821,5, Graduate, Yes,3000000,11900000,14,459,6000000,4800000,11700000,4200000,0
822,3, Not Graduate, Yes,9400000,21400000,10,323,5100000,15500000,29600000,11300000,0
823,4, Graduate, No,7600000,29000000,8,739,22100000,8100000,22100000,8800000,1
824,0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000,1
825,1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000,0
826,3, Graduate, No,7700000,27700000,4,439,13900000,7500000,27100000,6200000,1
827,2, Graduate,,9800000,25400000,2,655,19900000,4600000,21300000,7900000,1
828,2, Graduate, No,700000,2600000,20,489,100000,200000,2400000,900000,0
829,4, Not Graduate, Yes,3100000,8600000,14,427,3100000,3800000,,3700000,0
830,3, Not Graduate, No,5900000,23200000,2,307,15500000,10000000,21100000,6300000,1
831,2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000,0
832,4, Not Graduate, Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000,0
833,3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000,0
834,4, Graduate,nan,8000000,31500000,18,683,10300000,7900000,30100000,9600000,1
835,1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000,1
836,2, Not Graduate, Yes,3900000,13900000,18,715,5000000,5600000,9900000,2100000,1
837,2, Graduate, No,2200000,4800000,6,721,1800000,100000,6900000,2200000,1
838,4, Not Graduate, No,7600000,30300000,12,339,20400000,8000000,22200000,5800000,0
839,5, Not Graduate,,2700000,6800000,6,461,4500000,2000000,8200000,1700000,0
840,2, Graduate, Yes,6300000,23200000,,556,7000000,8300000,24200000,5300000,1
841,3, Not Graduate, No,7700000,18700000,8,483,15100000,5600000,24600000,10200000,0
842,2, Graduate, No,4500000,17200000,18,406,4100000,6300000,13800000,3300000,0
843,2, Graduate, Yes,9400000,24800000,14,513,24200000,18200000,37200000,7500000,0
844,0, Not Graduate, No,4600000,12600000,16,574,3400000,6200000,15100000,3600000,1
845,0, Graduate, Yes,5200000,15700000,6,692,3800000,7000000,12800000,5500000,1
846,1, Not Graduate, Yes,9900000,38500000,2,875,19600000,2900000,20200000,6500000,1
847,2, Graduate, Yes,4900000,12000000,20,513,14200000,8100000,18300000,4800000,0
848,3, Graduate, Yes,7000000,24200000,2,354,18200000,7000000,,7900000,1
849,1, Graduate,,6200000,14300000,20,819,7500000,11700000,16700000,4300000,1
850,0, Graduate, Yes,6100000,19900000,20,761,4500000,3700000,12700000,7100000,1
851,0, Graduate, No,700000,1900000,18,572,1400000,1000000,2000000,300000,1
852,3, Graduate, No,6400000,24100000,12,571,19000000,11500000,13200000,7500000,1
853,4, Graduate,nan,3800000,7800000,,891,4600000,7000000,14300000,3300000,1
854,2, Graduate, No,2100000,6600000,20,580,3800000,4100000,6200000,2100000,1
855,4, Not Graduate, No,1600000,5100000,8,705,2400000,800000,5100000,1900000,1
856,1, Not Graduate, Yes,1300000,5000000,20,423,900000,800000,,1600000,0
857,5, Not Graduate, Yes,7300000,22500000,2,846,9800000,4700000,20300000,5700000,1
858,2, Not Graduate, No,2100000,5000000,4,542,700000,600000,6600000,3100000,0
859,5, Not Graduate, No,600000,2400000,18,631,600000,300000,2100000,900000,1
860,4, Graduate,,7000000,24500000,18,318,4300000,1700000,16300000,3600000,0
861,1, Not Graduate, Yes,3000000,6800000,10,541,5800000,5700000,10700000,2900000,0
862,1, Graduate, No,900000,2900000,20,782,0,1500000,3500000,800000,1
863,2, Graduate, No,9600000,35000000,2,888,12600000,6500000,37900000,5800000,1
864,0, Graduate, Yes,5000000,18900000,6,641,4300000,8500000,19600000,6700000,1
865,3, Graduate, Yes,500000,1700000,4,640,400000,700000,1300000,200000,1
866,4, Not Graduate, No,7600000,28100000,12,324,12500000,8500000,19900000,11100000,0
867,4, Graduate, No,5500000,21200000,20,359,4200000,5300000,18600000,6400000,0
868,0, Not Graduate,,6600000,23300000,12,338,2400000,800000,18900000,9300000,0
869,0, Graduate, No,1400000,3200000,14,384,3100000,800000,3400000,2000000,0
870,5, Not Graduate, No,6200000,24200000,18,610,10200000,7800000,19600000,8300000,1
871,3, Not Graduate, No,2400000,8100000,6,630,5100000,2900000,,2300000,1
872,1, Graduate, No,9100000,31200000,48,508,12800000,11700000,31100000,7800000,1
873,0, Not Graduate, Yes,9500000,34900000,4,535,800000,14100000,25600000,14000000,1
874,1, Graduate, No,1200000,3400000,20,717,3100000,1500000,2500000,900000,1
875,5, Graduate, Yes,7800000,22000000,20,528,5800000,8800000,24700000,4900000,0
876,0, Not Graduate, No,1700000,,12,422,3400000,1100000,6500000,900000,0
877,5, Graduate, No,4000000,13700000,6,496,-100000,1400000,,3700000,0
878,3, Not Graduate, Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000,1
879,2, Graduate, No,4600000,15600000,2,764,7700000,1500000,16000000,5800000,1
880,3, Graduate, No,7200000,17700000,4,662,13100000,11500000,16300000,5300000,1
881,0, Not Graduate, No,4700000,,16,311,12800000,200000,17500000,2700000,0
882,4, Not Graduate, Yes,8700000,30000000,4,370,17600000,15600000,,12100000,1
883,1, Not Graduate,nan,6400000,14100000,20,553,11700000,4500000,20000000,3600000,1
884,4, Not Graduate, No,7600000,29900000,18,445,4800000,13900000,18400000,5700000,0
885,3, Not Graduate, No,6800000,17900000,6,783,20000000,9800000,23600000,5500000,1
886,5, Graduate, Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000,0
887,0, Not Graduate,nan,6000000,15300000,8,709,8900000,1700000,16400000,3500000,1
888,3, Not Graduate,,700000,2500000,14,819,1600000,1000000,2100000,900000,1
889,0, Not Graduate, Yes,6800000,17300000,18,841,10500000,8600000,16000000,8700000,1
890,4, Not Graduate, Yes,5300000,10700000,12,700,15800000,1900000,20500000,2900000,1
891,4, Not Graduate, No,9200000,21700000,6,653,22700000,4600000,29400000,8600000,1
892,1, Graduate, Yes,7900000,29200000,2,663,19600000,12100000,28600000,10100000,1
893,0, Not Graduate, No,4500000,17500000,10,495,10300000,3500000,9700000,6200000,0
894,3, Not Graduate, No,1200000,2400000,12,480,3000000,100000,3100000,1700000,0
895,4, Not Graduate, No,1700000,4900000,18,843,4800000,2200000,6200000,1800000,1
896,1, Not Graduate, No,1600000,5100000,12,548,2200000,2700000,3600000,800000,0
897,4, Graduate, Yes,6600000,16000000,16,379,6500000,12600000,,4500000,0
898,5, Not Graduate, Yes,9400000,26600000,20,771,10200000,12600000,36900000,11700000,1
899,4, Graduate, Yes,300000,500000,2,353,600000,100000,1200000,400000,0
900,5, Not Graduate, No,4600000,11500000,16,668,6500000,3100000,10200000,5500000,1
901,3, Not Graduate, Yes,6100000,21300000,2,387,7100000,3100000,16300000,4100000,1
902,0, Graduate, Yes,400000,900000,2,855,-100000,500000,1300000,400000,1
903,0, Not Graduate, No,8700000,33600000,14,751,7100000,13700000,,7000000,1
904,4, Not Graduate,,7600000,23800000,16,896,3700000,4500000,15400000,6400000,1
905,3, Not Graduate, Yes,600000,2400000,12,884,600000,800000,1400000,600000,1
906,3, Graduate, Yes,4900000,14300000,14,439,10300000,5600000,17400000,5100000,0
907,3, Graduate,,9100000,18800000,20,308,14500000,10200000,20500000,4800000,0
908,4, Graduate, No,7900000,31400000,8,698,16500000,11400000,28700000,5100000,1
909,2, Not Graduate,,6100000,22300000,10,733,12100000,9700000,17200000,5600000,1
910,3, Graduate, Yes,9900000,29900000,20,490,10500000,9100000,27100000,7400000,0
911,4, Graduate, Yes,1900000,6800000,6,559,3600000,2200000,6200000,1200000,1
912,2, Not Graduate,,1500000,5000000,4,613,4400000,1300000,5200000,2100000,1
913,0, Graduate, Yes,2300000,6000000,8,690,5500000,2900000,6000000,2000000,1
914,2, Not Graduate, No,7800000,17100000,14,351,19000000,7200000,19300000,7100000,0
915,4, Not Graduate,,400000,1000000,10,447,0,300000,900000,300000,0
916,0, Graduate, Yes,9400000,19200000,20,708,21200000,16300000,,13200000,1
917,1, Graduate, Yes,9000000,18800000,8,797,4100000,9400000,22900000,7500000,1
918,4, Not Graduate, No,7100000,14300000,14,537,13700000,10400000,18200000,6100000,0
919,3, Graduate, No,800000,2500000,12,828,1700000,0,1500000,700000,1
920,5, Graduate,,8500000,25400000,4,336,8500000,1200000,30600000,9000000,0
921,2, Graduate, No,1500000,3300000,18,440,800000,2300000,,1800000,0
922,0, Not Graduate, No,6200000,17300000,8,583,3700000,3900000,13600000,3300000,1
923,1, Not Graduate,,1300000,2900000,6,480,2900000,300000,2900000,1400000,0
924,5, Not Graduate, No,6600000,25800000,10,670,4600000,7200000,20600000,8500000,1
925,0, Graduate, Yes,5300000,13700000,6,329,8800000,7600000,11200000,2800000,0
926,5, Not Graduate, No,1400000,3000000,6,754,3500000,2700000,5300000,1400000,1
927,2, Not Graduate, Yes,2900000,7800000,18,588,400000,100000,11600000,4200000,1
928,3, Graduate, No,8300000,18900000,4,316,20200000,9700000,21300000,8200000,0
929,3, Not Graduate, No,3900000,10500000,20,821,1600000,6300000,11000000,3900000,1
930,0, Graduate, No,6200000,20100000,20,345,9300000,5900000,17400000,4100000,0
931,3, Not Graduate,,5900000,19200000,10,442,9500000,500000,18300000,4700000,0
932,1, Graduate,nan,6000000,,12,672,2000000,11300000,19600000,6400000,1
933,5, Graduate, Yes,3400000,12300000,10,615,7000000,1600000,11400000,3500000,1
934,1, Graduate, No,6400000,16900000,2,703,6300000,7300000,15900000,7400000,1
935,5, Not Graduate, No,5800000,22200000,16,884,1200000,4800000,19500000,8500000,1
936,5, Graduate, Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000,1
937,4, Not Graduate, No,6600000,17300000,14,793,16700000,1400000,17500000,3900000,1
938,2, Not Graduate, No,4100000,11100000,8,390,800000,3100000,10100000,3400000,0
939,3, Not Graduate, Yes,300000,1000000,12,469,600000,400000,700000,300000,0
940,4, Graduate, No,4700000,10400000,6,373,6800000,8600000,14300000,5400000,0
941,5, Not Graduate, No,2700000,8300000,8,833,4600000,1300000,6800000,3300000,1
942,2, Graduate, No,6900000,20900000,2,302,18700000,10700000,26900000,9200000,1
943,3, Not Graduate, No,4100000,12200000,2,457,700000,500000,14100000,4900000,0
944,2, Not Graduate, Yes,400000,,,480,200000,700000,1600000,200000,1
945,5, Graduate, Yes,4400000,17300000,20,840,3600000,5100000,12900000,2300000,1
946,2, Not Graduate, Yes,3800000,8000000,12,866,6000000,600000,8400000,1900000,1
947,1, Graduate, Yes,9000000,33500000,2,748,7900000,9800000,25700000,11500000,1
948,3, Not Graduate, Yes,9500000,25500000,12,881,27000000,14100000,21600000,8900000,1
949,2, Graduate, Yes,6900000,13900000,8,829,14300000,8100000,22400000,4600000,1
950,3, Not Graduate, No,6600000,21400000,10,467,15200000,6000000,20300000,5200000,0
951,1, Graduate, Yes,5200000,14300000,18,650,5400000,2300000,17600000,3600000,1
952,4, Not Graduate, No,1200000,3300000,12,876,400000,100000,3800000,1000000,1
953,5, Graduate, No,7600000,26000000,6,778,12900000,2400000,25500000,10900000,1
954,5, Graduate, Yes,700000,1800000,14,571,200000,400000,1900000,400000,1
955,0, Not Graduate,,2300000,6200000,8,712,6800000,1700000,,1500000,1
956,1, Not Graduate, Yes,1800000,5500000,10,426,5000000,1500000,5900000,1600000,0
957,3, Not Graduate, Yes,1400000,4600000,8,543,1500000,1200000,2700000,2000000,0
958,0, Not Graduate, No,7000000,25300000,14,697,15100000,10400000,14300000,6700000,1
959,1, Not Graduate, No,3900000,15100000,12,527,10600000,5100000,11100000,3800000,0
960,1, Not Graduate, No,5700000,17200000,4,512,4300000,7000000,21400000,3000000,1
961,1, Not Graduate, No,2900000,7400000,10,874,400000,1200000,10100000,3300000,1
962,2, Not Graduate, No,5200000,14800000,12,659,11500000,5200000,18100000,4100000,1
963,1, Graduate, Yes,8600000,19600000,16,498,14800000,3000000,21000000,5300000,0
964,2, Graduate,,4800000,13200000,20,310,11800000,4600000,12900000,4200000,0
965,0, Graduate, No,3600000,8700000,10,309,6300000,1000000,8600000,3300000,0
966,1, Not Graduate, Yes,400000,1300000,18,801,100000,0,1500000,600000,1
967,3, Graduate, Yes,6500000,22400000,6,488,16800000,11700000,21700000,6800000,0
968,0, Not Graduate, Yes,2300000,6000000,16,756,2900000,2100000,7500000,1200000,1
969,3, Graduate, No,1000000,2800000,4,757,2500000,100000,3800000,900000,1
970,5, Not Graduate, No,3200000,10100000,6,828,8500000,6000000,8700000,3000000,1
